Time,Day,Year,Quarter,Quarter Progress,Class,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Speed,Conditions
0,0.0,2016.0,Winter,0.373333333333,Empty,33.1,32.0,0.96,29.86,8.0,5.8,Partly Cloudy
0,0.0,2016.0,Winter,0.373333333333,Empty,33.1,32.0,0.96,29.86,8.0,5.8,Partly Cloudy
0,1.0,2016.0,Winter,0.76,Not Busy,27.0,23.0,0.85,30.03,8.0,12.7,Light Snow
0,4.0,2016.0,Spring,0.0405405405405,Empty,43.0,41.0,0.93,29.63,10.0,0.0,Overcast
0,2.0,2016.0,Spring,0.864864864865,Not Busy,63.0,57.9,0.84,29.96,10.0,0.0,Overcast
0,3.0,2015.0,Fall,0.217391304348,Empty,54.0,42.1,0.64,30.28,10.0,10.4,Scattered Clouds
0,1.0,2015.0,Fall,0.880434782609,Empty,42.1,41.0,0.96,29.87,2.5,4.6,Overcast
0,1.0,2015.0,Fall,0.880434782609,Empty,42.1,41.0,0.96,29.87,2.5,4.6,Overcast
0,1.0,2016.0,Winter,0.386666666667,Not Busy,30.0,28.9,0.96,30.15,4.0,0.0,Overcast
0,2.0,2016.0,Winter,0.773333333333,Empty,17.1,7.0,0.65,30.12,10.0,6.9,Clear
0,0.0,2016.0,Spring,0.459459459459,Not Busy,44.1,42.1,0.93,30.05,10.0,10.4,Overcast
0,3.0,2016.0,Spring,0.878378378378,Not Busy,64.0,55.0,0.73,29.96,10.0,3.5,Clear
0,4.0,2015.0,Fall,0.228260869565,Empty,53.1,42.1,0.66,30.37,10.0,11.5,Scattered Clouds
0,0.0,2015.0,Fall,0.565217391304,Not Busy,46.9,45.0,0.93,29.96,10.0,3.5,Clear
0,2.0,2015.0,Fall,0.891304347826,Not Busy,37.0,32.0,0.82,29.81,10.0,5.8,Overcast
0,2.0,2015.0,Fall,0.891304347826,Not Busy,37.0,32.0,0.82,29.81,10.0,5.8,Overcast
0,2.0,2016.0,Winter,0.4,Empty,36.0,36.0,1.0,29.49,0.2,4.6,Fog
0,3.0,2016.0,Winter,0.786666666667,Not Busy,28.0,24.1,0.85,30.13,2.5,5.8,Light Snow
0,3.0,2016.0,Winter,0.786666666667,Not Busy,28.0,24.1,0.85,30.13,2.5,5.8,Light Snow
0,1.0,2016.0,Spring,0.472972972973,Not Busy,39.9,36.0,0.86,30.02,10.0,0.0,Clear
0,4.0,2016.0,Spring,0.891891891892,Not Busy,57.0,54.0,0.89,30.06,10.0,0.0,Clear
0,1.0,2015.0,Fall,0.576086956522,Not Busy,51.1,42.1,0.71,30.03,10.0,5.8,Clear
0,3.0,2015.0,Fall,0.902173913043,Not Busy,30.0,26.1,0.85,30.08,10.0,6.9,Mostly Cloudy
0,3.0,2016.0,Winter,0.413333333333,Not Busy,28.0,21.0,0.75,30.08,10.0,12.7,Overcast
0,4.0,2016.0,Winter,0.8,Not Busy,24.1,17.1,0.75,30.19,10.0,6.9,Clear
0,0.0,2016.0,Spring,0.0810810810811,Empty,37.0,28.9,0.73,29.84,10.0,13.8,Scattered Clouds
0,2.0,2016.0,Spring,0.486486486486,Not Busy,55.9,44.1,0.64,29.62,10.0,10.4,Overcast
0,5.0,2016.0,Spring,0.905405405405,Not Busy,68.0,54.0,0.61,29.95,10.0,0.0,Clear
0,2.0,2015.0,Fall,0.586956521739,Not Busy,50.0,50.0,1.0,30.12,0.2,0.0,Fog
0,4.0,2015.0,Fall,0.913043478261,Not Busy,34.0,32.0,0.92,30.41,7.0,6.9,Overcast
0,4.0,2015.0,Fall,0.913043478261,Not Busy,34.0,32.0,0.92,30.41,7.0,6.9,Overcast
