Time,Day,Year,Quarter,Quarter Progress,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Speed,Conditions,Class
0,0,2016,Winter,0.373333333,33.1,32,0.96,29.86,8,5.8,Partly Cloudy,Empty
0,0,2016,Winter,0.373333333,33.1,32,0.96,29.86,8,5.8,Partly Cloudy,Empty
0,1,2016,Winter,0.76,27,23,0.85,30.03,8,12.7,Light Snow,Not Busy
0,4,2016,Spring,0.040540541,43,41,0.93,29.63,10,0,Overcast,Empty
0,2,2016,Spring,0.864864865,63,57.9,0.84,29.96,10,0,Overcast,Not Busy
0,3,2015,Fall,0.217391304,54,42.1,0.64,30.28,10,10.4,Scattered Clouds,Empty
0,1,2015,Fall,0.880434783,42.1,41,0.96,29.87,2.5,4.6,Overcast,Empty
0,1,2015,Fall,0.880434783,42.1,41,0.96,29.87,2.5,4.6,Overcast,Empty
0,1,2016,Winter,0.386666667,30,28.9,0.96,30.15,4,0,Overcast,Not Busy
0,2,2016,Winter,0.773333333,17.1,7,0.65,30.12,10,6.9,Clear,Empty
0,0,2016,Spring,0.459459459,44.1,42.1,0.93,30.05,10,10.4,Overcast,Not Busy
0,3,2016,Spring,0.878378378,64,55,0.73,29.96,10,3.5,Clear,Not Busy
0,4,2015,Fall,0.22826087,53.1,42.1,0.66,30.37,10,11.5,Scattered Clouds,Empty
0,0,2015,Fall,0.565217391,46.9,45,0.93,29.96,10,3.5,Clear,Not Busy
0,2,2015,Fall,0.891304348,37,32,0.82,29.81,10,5.8,Overcast,Not Busy
0,2,2015,Fall,0.891304348,37,32,0.82,29.81,10,5.8,Overcast,Not Busy
0,2,2016,Winter,0.4,36,36,1,29.49,0.2,4.6,Fog,Empty
0,3,2016,Winter,0.786666667,28,24.1,0.85,30.13,2.5,5.8,Light Snow,Not Busy
0,3,2016,Winter,0.786666667,28,24.1,0.85,30.13,2.5,5.8,Light Snow,Not Busy
0,1,2016,Spring,0.472972973,39.9,36,0.86,30.02,10,0,Clear,Not Busy
0,4,2016,Spring,0.891891892,57,54,0.89,30.06,10,0,Clear,Not Busy
0,1,2015,Fall,0.576086957,51.1,42.1,0.71,30.03,10,5.8,Clear,Not Busy
0,3,2015,Fall,0.902173913,30,26.1,0.85,30.08,10,6.9,Mostly Cloudy,Not Busy
0,3,2016,Winter,0.413333333,28,21,0.75,30.08,10,12.7,Overcast,Not Busy
0,4,2016,Winter,0.8,24.1,17.1,0.75,30.19,10,6.9,Clear,Not Busy
0,0,2016,Spring,0.081081081,37,28.9,0.73,29.84,10,13.8,Scattered Clouds,Empty
0,2,2016,Spring,0.486486486,55.9,44.1,0.64,29.62,10,10.4,Overcast,Not Busy
0,5,2016,Spring,0.905405405,68,54,0.61,29.95,10,0,Clear,Not Busy
0,2,2015,Fall,0.586956522,50,50,1,30.12,0.2,0,Fog,Not Busy
