@relation 'no_zero_other_class_at_end-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,13'

@attribute Time numeric
@attribute Day numeric
@attribute Quarter {Winter,Spring,Fall,Other,Summer}
@attribute Class {Empty,'Not Busy','Moderately Busy',Busy}

@data
0,0,Winter,Empty
0,0,Winter,Empty
0,1,Winter,'Not Busy'
0,4,Spring,Empty
0,2,Spring,'Not Busy'
0,3,Fall,Empty
0,1,Fall,Empty
0,1,Fall,Empty
0,1,Winter,'Not Busy'
0,2,Winter,Empty
0,0,Spring,'Not Busy'
0,3,Spring,'Not Busy'
0,4,Fall,Empty
0,0,Fall,'Not Busy'
0,2,Fall,'Not Busy'
0,2,Fall,'Not Busy'
0,2,Winter,Empty
0,3,Winter,'Not Busy'
0,3,Winter,'Not Busy'
0,1,Spring,'Not Busy'
0,4,Spring,'Not Busy'
0,1,Fall,'Not Busy'
0,3,Fall,'Not Busy'
0,3,Winter,'Not Busy'
0,4,Winter,'Not Busy'
0,0,Spring,Empty
0,2,Spring,'Not Busy'
0,5,Spring,'Not Busy'
0,2,Fall,'Not Busy'
0,4,Fall,'Not Busy'
0,4,Fall,'Not Busy'
0,1,Winter,Empty
0,4,Winter,'Not Busy'
0,1,Spring,Empty
0,3,Spring,'Not Busy'
0,6,Spring,'Not Busy'
0,0,Fall,Empty
0,3,Fall,'Not Busy'
0,5,Fall,'Not Busy'
0,2,Winter,Empty
0,2,Spring,'Not Busy'
0,4,Spring,'Not Busy'
0,0,Spring,'Moderately Busy'
0,1,Fall,Empty
0,4,Fall,Empty
0,4,Fall,Empty
0,6,Fall,'Moderately Busy'
0,6,Fall,'Moderately Busy'
0,3,Winter,Empty
0,0,Winter,'Not Busy'
0,3,Spring,Empty
0,3,Spring,Empty
0,1,Spring,'Not Busy'
0,2,Fall,'Not Busy'
0,0,Fall,'Not Busy'
0,0,Fall,'Not Busy'
0,4,Winter,Empty
0,0,Winter,'Not Busy'
0,1,Winter,'Not Busy'
0,4,Spring,Empty
0,2,Spring,'Not Busy'
0,3,Fall,Empty
0,1,Fall,'Not Busy'
0,1,Winter,'Not Busy'
0,1,Winter,'Not Busy'
0,2,Winter,'Not Busy'
0,0,Spring,'Not Busy'
0,3,Spring,'Not Busy'
0,4,Fall,Empty
0,4,Fall,Empty
0,0,Fall,Empty
0,2,Fall,'Not Busy'
0,2,Winter,'Not Busy'
0,3,Winter,'Not Busy'
0,1,Spring,'Not Busy'
0,1,Spring,'Not Busy'
0,4,Spring,'Not Busy'
0,4,Spring,'Not Busy'
0,1,Fall,Empty
0,3,Fall,'Not Busy'
0,0,Winter,Empty
0,3,Winter,Empty
0,4,Winter,'Not Busy'
0,0,Spring,Empty
0,2,Spring,'Not Busy'
0,2,Spring,'Not Busy'
0,2,Fall,'Not Busy'
0,4,Fall,'Not Busy'
0,1,Winter,'Not Busy'
0,4,Winter,Empty
0,5,Winter,Empty
0,1,Spring,Empty
0,3,Spring,'Not Busy'
0,3,Spring,'Not Busy'
0,0,Fall,'Not Busy'
0,3,Fall,'Not Busy'
0,2,Winter,Empty
0,6,Winter,'Not Busy'
0,6,Winter,'Not Busy'
0,2,Spring,'Not Busy'
0,4,Spring,'Not Busy'
