Year,Month,Day,Hour,Minute,Number
2015,7,1,7,40,1
2015,,,,42,1
2015,,,,44,1
2015,,,,47,1
2015,,,,53,1
2015,,,,54,2
2015,,,,56,1
2015,,,,58,1
2015,,,8,1,2
2015,,,,4,2
2015,,,,5,1
2015,,,,6,1
2015,,,,7,2
2015,,,,9,1
2015,,,,10,1
2015,,,,11,1
2015,,,,13,1
2015,,,,14,1
2015,,,,18,2
2015,,,,19,3
2015,,,,21,1
2015,,,,22,2
2015,,,,23,3
2015,,,,26,2
2015,,,,28,1
2015,,,,29,4
2015,,,,30,9
2015,,,,31,10
2015,,,,32,3
2015,,,,33,1
2015,,,,34,4
2015,,,,35,4
2015,,,,36,1
2015,,,,37,3
2015,,,,38,1
2015,,,,40,1
2015,,,,41,3
2015,,,,42,2
2015,,,,43,4
2015,,,,44,1
2015,,,,45,4
2015,,,,46,7
2015,,,,47,4
2015,,,,48,3
2015,,,,49,7
2015,,,,50,3
2015,,,,51,2
2015,,,,52,2
2015,,,,53,3
2015,,,,54,2
2015,,,,55,6
2015,,,,56,5
2015,,,,57,10
2015,,,,58,1
2015,,,,59,2
2015,,,9,0,4
2015,,,,1,4
2015,,,,2,3
2015,,,,3,6
2015,,,,4,2
2015,,,,5,3
2015,,,,6,1
2015,,,,7,4
2015,,,,8,2
2015,,,,10,2
2015,,,,11,1
2015,,,,13,7
2015,,,,14,2
2015,,,,15,1
2015,,,,16,3
2015,,,,18,2
2015,,,,19,2
2015,,,,20,2
2015,,,,21,1
2015,,,,22,2
2015,,,,24,1
2015,,,,25,4
2015,,,,26,1
2015,,,,27,2
2015,,,,28,2
2015,,,,30,3
2015,,,,31,3
2015,,,,33,2
2015,,,,34,1
2015,,,,35,1
2015,,,,36,1
2015,,,,37,2
2015,,,,38,3
2015,,,,39,2
2015,,,,40,1
2015,,,,41,4
2015,,,,42,2
2015,,,,43,1
2015,,,,44,3
2015,,,,45,2
2015,,,,46,3
2015,,,,49,1
2015,,,,50,2
2015,,,,52,2
2015,,,,54,4
2015,,,,55,2
2015,,,,56,6
2015,,,,57,2
2015,,,,59,4
2015,,,10,0,2
2015,,,,1,2
2015,,,,2,2
2015,,,,4,2
2015,,,,5,1
2015,,,,6,2
2015,,,,8,2
2015,,,,9,2
2015,,,,11,1
2015,,,,14,4
2015,,,,16,2
2015,,,,17,1
2015,,,,18,2
2015,,,,19,2
2015,,,,20,1
2015,,,,21,1
2015,,,,22,1
2015,,,,23,4
2015,,,,27,1
2015,,,,28,2
2015,,,,30,4
2015,,,,31,1
2015,,,,32,1
2015,,,,33,1
2015,,,,34,1
2015,,,,39,1
2015,,,,40,3
2015,,,,41,1
2015,,,,43,1
2015,,,,44,2
2015,,,,46,1
2015,,,,47,1
2015,,,,51,1
2015,,,,53,1
2015,,,,54,1
2015,,,,56,2
2015,,,,57,3
2015,,,,59,1
2015,,,11,0,2
2015,,,,1,1
2015,,,,3,2
2015,,,,4,2
2015,,,,6,2
2015,,,,7,1
2015,,,,8,1
2015,,,,11,3
2015,,,,12,1
2015,,,,14,1
2015,,,,15,2
2015,,,,16,1
2015,,,,18,1
2015,,,,21,1
2015,,,,24,4
2015,,,,26,1
2015,,,,29,2
2015,,,,35,1
2015,,,,36,2
2015,,,,37,4
2015,,,,38,1
2015,,,,40,1
2015,,,,41,1
2015,,,,43,13
2015,,,,44,3
2015,,,,45,1
2015,,,,46,1
2015,,,,47,2
2015,,,,48,1
