Time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Speed,Conditions,Year,Month,Day
100,55.9F,51.1F,84%,29.93in,10.0mi,4.6mph,Scattered Clouds,2015,7,1
200,57.0F,51.1F,81%,29.94in,10.0mi,5.8mph,Overcast,2015,7,1
300,55.9F,50.0F,80%,29.94in,10.0mi,3.5mph,Clear,2015,7,1
400,55.0F,50.0F,83%,29.95in,10.0mi,5.8mph,Overcast,2015,7,1
500,55.0F,50.0F,83%,29.95in,10.0mi,3.5mph,Overcast,2015,7,1
0500,55.0F,50.0F,83%,29.95in,10.0mi,3.5mph,Scattered Clouds,2015,7,1
600,55.0F,50.0F,83%,29.96in,10.0mi,Calm,Mostly Cloudy,2015,7,1
700,55.9F,51.1F,84%,29.98in,10.0mi,Calm,Mostly Cloudy,2015,7,1
800,57.9F,51.1F,78%,29.99in,10.0mi,Calm,Overcast,2015,7,1
900,59.0F,52.0F,78%,29.98in,10.0mi,Calm,Overcast,2015,7,1
0900,61.0F,53.1F,75%,29.98in,10.0mi,3.5mph,Mostly Cloudy,2015,7,1
1000,63.0F,53.1F,70%,29.99in,10.0mi,6.9mph,Mostly Cloudy,2015,7,1
1100,64.9F,53.1F,65%,29.99in,10.0mi,4.6mph,Overcast,2015,7,1
1200,66.9F,55.0F,66%,29.98in,10.0mi,10.4mph,Mostly Cloudy,2015,7,1
1300,62.6F,53.6F,72%,29.99in,10.0mi,10.4mph,Mostly Cloudy,2015,7,1
1400,64.0F,51.1F,63%,29.99in,10.0mi,8.1mph,Clear,2015,7,1
1500,61.0F,48.9F,64%,29.99in,10.0mi,9.2mph,Clear,2015,7,1
1600,60.1F,48.9F,67%,29.99in,10.0mi,10.4mph,Clear,2015,7,1
1700,60.1F,50.0F,69%,29.99in,10.0mi,8.1mph,Clear,2015,7,1
1800,59.0F,48.9F,69%,30.00in,10.0mi,8.1mph,Clear,2015,7,1
1900,57.0F,50.0F,77%,30.01in,10.0mi,8.1mph,Clear,2015,7,1
2000,55.9F,50.0F,80%,30.01in,10.0mi,6.9mph,Clear,2015,7,1
2100,55.0F,50.0F,83%,30.02in,10.0mi,3.5mph,Clear,2015,7,1
2200,55.0F,50.0F,83%,30.02in,10.0mi,5.8mph,Clear,2015,7,1
2300,54.0F,50.0F,86%,30.02in,10.0mi,3.5mph,Clear,2015,7,1
2400,53.1F,48.9F,86%,30.02in,10.0mi,3.5mph,Clear,2015,7,1
100,53.1F,48.9F,86%,30.01in,10.0mi,3.5mph,Clear,2015,7,2
200,52.0F,48.9F,89%,30.01in,10.0mi,Calm,Clear,2015,7,2
300,52.0F,48.9F,89%,30.02in,10.0mi,Calm,Clear,2015,7,2
400,52.0F,48.9F,89%,30.01in,10.0mi,Calm,Mostly Cloudy,2015,7,2
0400,53.1F,50.0F,89%,30.01in,10.0mi,5.8mph,Overcast,2015,7,2
500,53.1F,51.1F,93%,30.00in,10.0mi,5.8mph,Overcast,2015,7,2
600,54.0F,51.1F,90%,30.00in,10.0mi,9.2mph,Overcast,2015,7,2
700,55.0F,52.0F,89%,30.03in,10.0mi,6.9mph,Overcast,2015,7,2
800,57.0F,53.1F,87%,30.04in,10.0mi,6.9mph,Overcast,2015,7,2
900,59.0F,53.1F,81%,30.03in,10.0mi,9.2mph,Overcast,2015,7,2
1000,60.1F,53.1F,78%,30.04in,10.0mi,13.8mph,Overcast,2015,7,2
1100,62.6F,51.8F,68%,30.03in,10.0mi,13.8mph,Scattered Clouds,2015,7,2
1200,64.0F,52.0F,65%,30.04in,10.0mi,12.7mph,Partly Cloudy,2015,7,2
1300,64.9F,52.0F,63%,30.03in,10.0mi,9.2mph,Clear,2015,7,2
1400,66.0F,52.0F,60%,30.03in,10.0mi,9.2mph,Clear,2015,7,2
1500,64.9F,51.1F,61%,30.02in,10.0mi,13.8mph,Clear,2015,7,2
1600,64.0F,51.1F,63%,30.01in,10.0mi,9.2mph,Clear,2015,7,2
1700,64.9F,52.0F,63%,30.01in,10.0mi,8.1mph,Clear,2015,7,2
1800,64.0F,52.0F,65%,30.00in,10.0mi,9.2mph,Clear,2015,7,2
1900,62.1F,51.1F,67%,29.99in,10.0mi,9.2mph,Clear,2015,7,2
2000,59.0F,48.9F,69%,30.00in,10.0mi,10.4mph,Clear,2015,7,2
2100,57.9F,48.9F,72%,30.00in,10.0mi,5.8mph,Clear,2015,7,2
2200,57.9F,48.0F,70%,30.02in,10.0mi,5.8mph,Clear,2015,7,2
2300,57.0F,46.9F,69%,30.02in,10.0mi,3.5mph,Clear,2015,7,2
2400,55.9F,46.9F,72%,30.01in,10.0mi,3.5mph,Clear,2015,7,2
100,55.9F,46.9F,72%,30.02in,10.0mi,3.5mph,Clear,2015,7,3
200,55.9F,48.0F,75%,29.99in,10.0mi,3.5mph,Clear,2015,7,3
300,54.0F,48.0F,80%,29.99in,10.0mi,Calm,Clear,2015,7,3
400,55.0F,48.9F,80%,29.98in,10.0mi,Calm,Clear,2015,7,3
500,54.0F,50.0F,86%,29.98in,10.0mi,Calm,Clear,2015,7,3
600,55.0F,51.1F,86%,29.99in,10.0mi,Calm,Clear,2015,7,3
700,57.0F,53.1F,87%,29.99in,10.0mi,Calm,Clear,2015,7,3
800,63.0F,55.9F,78%,30.00in,10.0mi,3.5mph,Clear,2015,7,3
900,66.0F,55.9F,70%,30.00in,10.0mi,3.5mph,Clear,2015,7,3
1000,68.0F,55.9F,65%,29.99in,10.0mi,Calm,Clear,2015,7,3
1100,73.0F,55.0F,53%,29.99in,10.0mi,3.5mph,Clear,2015,7,3
1200,73.0F,54.0F,51%,29.98in,10.0mi,3.5mph,Clear,2015,7,3
1300,73.0F,53.1F,49%,29.98in,10.0mi,5.8mph,Clear,2015,7,3
1400,73.9F,53.1F,48%,29.97in,10.0mi,  -,Clear,2015,7,3
1500,75.0F,53.1F,46%,29.96in,10.0mi,5.8mph,Clear,2015,7,3
1600,75.0F,53.1F,46%,29.95in,10.0mi,6.9mph,Clear,2015,7,3
1700,73.9F,53.1F,48%,29.93in,10.0mi,9.2mph,Clear,2015,7,3
1800,72.0F,52.0F,49%,29.94in,10.0mi,8.1mph,Clear,2015,7,3
1900,71.1F,52.0F,51%,29.94in,10.0mi,5.8mph,Clear,2015,7,3
2000,68.0F,52.0F,56%,29.92in,10.0mi,4.6mph,Clear,2015,7,3
2100,66.0F,53.1F,63%,29.93in,10.0mi,Calm,Clear,2015,7,3
2200,64.0F,54.0F,70%,29.94in,10.0mi,Calm,Clear,2015,7,3
2300,62.1F,54.0F,75%,29.95in,10.0mi,Calm,Clear,2015,7,3
2400,61.0F,54.0F,78%,29.96in,10.0mi,Calm,Clear,2015,7,3
100,60.1F,54.0F,80%,29.96in,10.0mi,Calm,Clear,2015,7,4
200,59.0F,54.0F,83%,29.95in,9.0mi,Calm,Clear,2015,7,4
300,59.0F,54.0F,83%,29.97in,9.0mi,Calm,Clear,2015,7,4
400,59.0F,54.0F,83%,29.96in,7.0mi,Calm,Clear,2015,7,4
500,57.0F,53.1F,87%,29.97in,6.0mi,Calm,Clear,2015,7,4
600,59.0F,54.0F,83%,29.97in,6.0mi,Calm,Haze,2015,7,4
700,61.0F,55.0F,81%,29.99in,6.0mi,Calm,Haze,2015,7,4
800,66.9F,57.0F,70%,29.99in,10.0mi,Calm,Clear,2015,7,4
900,72.0F,55.9F,57%,29.99in,10.0mi,3.5mph,Clear,2015,7,4
1000,75.0F,57.0F,53%,30.00in,10.0mi,Calm,Clear,2015,7,4
1100,75.9F,55.9F,50%,30.01in,10.0mi,3.5mph,Clear,2015,7,4
1200,78.1F,57.0F,48%,30.01in,10.0mi,4.6mph,Clear,2015,7,4
1300,80.1F,55.9F,43%,30.00in,10.0mi,4.6mph,Clear,2015,7,4
1400,79.0F,55.0F,44%,30.00in,10.0mi,5.8mph,Clear,2015,7,4
1500,81.0F,54.0F,39%,30.00in,10.0mi,3.5mph,Clear,2015,7,4
1600,81.0F,55.9F,42%,29.99in,10.0mi,5.8mph,Clear,2015,7,4
1700,80.1F,57.0F,45%,29.99in,10.0mi,6.9mph,Clear,2015,7,4
1800,79.0F,55.9F,45%,29.99in,10.0mi,6.9mph,Clear,2015,7,4
1900,77.0F,55.9F,48%,29.99in,10.0mi,4.6mph,Clear,2015,7,4
2100,71.1F,55.0F,57%,30.00in,10.0mi,Calm,Clear,2015,7,4
2200,69.1F,55.9F,63%,30.02in,9.0mi,3.5mph,Clear,2015,7,4
2300,66.0F,55.9F,70%,30.04in,9.0mi,Calm,Clear,2015,7,4
2400,66.0F,55.9F,70%,30.04in,5.0mi,Calm,Haze,2015,7,4
100,64.0F,57.0F,78%,30.04in,4.0mi,Calm,Haze,2015,7,5
200,64.0F,57.0F,78%,30.05in,2.5mi,Calm,Haze,2015,7,5
300,63.0F,57.0F,81%,30.06in,2.0mi,Calm,Haze,2015,7,5
0300,63.0F,57.0F,81%,30.07in,1.8mi,Calm,Haze,2015,7,5
400,62.1F,57.0F,84%,30.07in,1.5mi,Calm,Haze,2015,7,5
500,60.1F,55.9F,86%,30.06in,1.5mi,Calm,Clear,2015,7,5
600,60.1F,55.0F,83%,30.08in,1.0mi,Calm,Haze,2015,7,5
0600,60.1F,55.9F,86%,30.09in,0.8mi,Calm,Clear,2015,7,5
700,63.0F,57.9F,84%,30.09in,1.0mi,Calm,Haze,2015,7,5
0700,66.9F,59.0F,76%,30.10in,1.2mi,Calm,Haze,2015,7,5
800,70.0F,59.0F,68%,30.10in,1.8mi,Calm,Haze,2015,7,5
0800,72.0F,60.1F,66%,30.10in,3.0mi,Calm,Haze,2015,7,5
900,73.9F,60.1F,62%,30.09in,6.0mi,4.6mph,Haze,2015,7,5
1000,78.1F,60.1F,54%,30.09in,10.0mi,4.6mph,Clear,2015,7,5
1100,79.0F,59.0F,50%,30.08in,10.0mi,8.1mph,Partly Cloudy,2015,7,5
1200,79.0F,59.0F,50%,30.07in,10.0mi,4.6mph,Partly Cloudy,2015,7,5
1300,81.0F,59.0F,47%,30.08in,10.0mi,6.9mph,Partly Cloudy,2015,7,5
1400,82.0F,59.0F,45%,30.06in,10.0mi,9.2mph,Clear,2015,7,5
1500,82.9F,59.0F,44%,30.04in,10.0mi,4.6mph,Clear,2015,7,5
1600,82.9F,59.0F,44%,30.04in,10.0mi,10.4mph,Clear,2015,7,5
1700,82.9F,57.9F,42%,30.03in,10.0mi,10.4mph,Clear,2015,7,5
1800,82.0F,59.0F,45%,30.02in,10.0mi,9.2mph,Clear,2015,7,5
1900,81.0F,60.1F,49%,30.02in,10.0mi,9.2mph,Clear,2015,7,5
2000,80.1F,59.0F,48%,30.01in,10.0mi,4.6mph,Clear,2015,7,5
2100,75.0F,60.1F,60%,30.00in,10.0mi,4.6mph,Clear,2015,7,5
2200,72.0F,60.1F,66%,30.02in,10.0mi,3.5mph,Clear,2015,7,5
2300,70.0F,61.0F,73%,30.00in,9.0mi,4.6mph,Clear,2015,7,5
2400,69.1F,60.1F,73%,30.00in,8.0mi,Calm,Clear,2015,7,5
100,66.0F,60.1F,81%,30.00in,8.0mi,4.6mph,Clear,2015,7,6
200,66.9F,60.1F,79%,30.00in,8.0mi,3.5mph,Clear,2015,7,6
300,66.9F,60.1F,79%,30.02in,8.0mi,Calm,Clear,2015,7,6
400,66.0F,61.0F,84%,30.00in,7.0mi,4.6mph,Clear,2015,7,6
500,64.9F,61.0F,87%,29.97in,6.0mi,4.6mph,Clear,2015,7,6
600,64.9F,61.0F,87%,29.99in,4.0mi,5.8mph,Clear,2015,7,6
700,69.1F,64.0F,84%,30.00in,4.0mi,4.6mph,Haze,2015,7,6
800,73.0F,64.9F,76%,29.98in,6.0mi,9.2mph,Haze,2015,7,6
900,75.9F,66.0F,71%,29.97in,6.0mi,11.5mph,Haze,2015,7,6
1000,79.0F,68.0F,69%,29.97in,7.0mi,12.7mph,Partly Cloudy,2015,7,6
1100,81.0F,68.0F,65%,29.96in,9.0mi,13.8mph,Clear,2015,7,6
1200,82.9F,69.1F,63%,29.94in,9.0mi,16.1mph,Clear,2015,7,6
1300,84.9F,70.0F,61%,29.91in,8.0mi,15.0mph,Clear,2015,7,6
1400,82.9F,66.9F,58%,29.92in,10.0mi,25.3mph,Scattered Clouds,2015,7,6
1500,73.0F,68.0F,84%,29.92in,10.0mi,Calm,Light Rain,2015,7,6
1600,75.0F,70.0F,84%,29.90in,10.0mi,9.2mph,Clear,2015,7,6
1700,79.0F,71.1F,77%,29.86in,10.0mi,12.7mph,Clear,2015,7,6
1800,82.0F,70.0F,67%,29.85in,10.0mi,16.1mph,Clear,2015,7,6
1900,81.0F,70.0F,69%,29.83in,10.0mi,15.0mph,Clear,2015,7,6
2000,80.1F,69.1F,69%,29.83in,10.0mi,10.4mph,Partly Cloudy,2015,7,6
2100,75.2F,71.6F,89%,29.87in,4.0mi,11.5mph,Rain,2015,7,6
2200,73.0F,70.0F,90%,29.88in,7.0mi,9.2mph,Light Rain,2015,7,6
2300,72.0F,66.9F,84%,29.87in,10.0mi,10.4mph,Light Rain,2015,7,6
2400,71.1F,69.1F,93%,29.87in,3.0mi,9.2mph,Light Rain,2015,7,6
100,71.1F,69.1F,93%,29.82in,10.0mi,5.8mph,Clear,2015,7,7
200,72.0F,69.1F,91%,29.83in,10.0mi,5.8mph,Light Rain,2015,7,7
0200,72.0F,68.0F,87%,29.84in,10.0mi,5.8mph,Mostly Cloudy,2015,7,7
300,71.6F,68.0F,88%,29.85in,10.0mi,4.6mph,Overcast,2015,7,7
400,69.1F,64.9F,87%,29.86in,10.0mi,10.4mph,Overcast,2015,7,7
0400,61.0F,57.0F,87%,29.90in,9.0mi,13.8mph,Overcast,2015,7,7
500,61.0F,57.0F,87%,29.90in,7.0mi,13.8mph,Light Rain,2015,7,7
600,59.0F,57.0F,93%,29.92in,4.0mi,15.0mph,Light Rain,2015,7,7
0600,59.0F,55.9F,90%,29.94in,2.5mi,19.6mph,Light Rain,2015,7,7
700,57.9F,55.0F,90%,29.95in,2.5mi,13.8mph,Light Rain,2015,7,7
0700,57.9F,55.0F,90%,29.96in,3.0mi,11.5mph,Light Rain,2015,7,7
800,59.0F,54.0F,83%,29.97in,7.0mi,11.5mph,Overcast,2015,7,7
900,59.0F,51.1F,75%,30.00in,10.0mi,12.7mph,Overcast,2015,7,7
1000,63.0F,51.1F,65%,30.00in,10.0mi,12.7mph,Overcast,2015,7,7
1100,64.0F,48.9F,58%,30.01in,10.0mi,12.7mph,Overcast,2015,7,7
1200,66.0F,46.9F,50%,30.02in,10.0mi,13.8mph,Clear,2015,7,7
1300,66.0F,45.0F,47%,30.03in,10.0mi,18.4mph,Clear,2015,7,7
1400,66.0F,45.0F,47%,30.04in,10.0mi,15.0mph,Clear,2015,7,7
1500,64.9F,46.0F,50%,30.05in,10.0mi,13.8mph,Clear,2015,7,7
1600,64.0F,46.0F,52%,30.06in,10.0mi,12.7mph,Clear,2015,7,7
1700,63.0F,46.0F,54%,30.08in,10.0mi,16.1mph,Clear,2015,7,7
1800,62.1F,46.9F,58%,30.08in,10.0mi,9.2mph,Clear,2015,7,7
1900,62.1F,45.0F,53%,30.09in,10.0mi,12.7mph,Clear,2015,7,7
2000,59.0F,45.0F,60%,30.10in,10.0mi,9.2mph,Clear,2015,7,7
2100,57.0F,46.0F,67%,30.10in,10.0mi,5.8mph,Clear,2015,7,7
2200,55.0F,46.0F,72%,30.12in,10.0mi,5.8mph,Clear,2015,7,7
2300,55.0F,46.9F,74%,30.13in,10.0mi,Calm,Clear,2015,7,7
