Time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Speed,Conditions,Year,Month,Day
0000,55.9,51.1,0.84,29.93,10.0,4.6,Scattered Clouds,2015,7,1
0030,55.9,51.1,0.84,29.93,10.0,4.6,Scattered Clouds,2015,7,1
0100,55.9,51.1,0.84,29.93,10.0,4.6,Scattered Clouds,2015,7,1
0130,57.0,51.1,0.81,29.94,10.0,5.8,Overcast,2015,7,1
0200,57.0,51.1,0.81,29.94,10.0,5.8,Overcast,2015,7,1
0230,55.9,50.0,0.8,29.94,10.0,3.5,Clear,2015,7,1
0300,55.9,50.0,0.8,29.94,10.0,3.5,Clear,2015,7,1
0330,55.0,50.0,0.83,29.95,10.0,5.8,Overcast,2015,7,1
0400,55.0,50.0,0.83,29.95,10.0,5.8,Overcast,2015,7,1
0430,55.0,50.0,0.83,29.95,10.0,3.5,Overcast,2015,7,1
0500,55.0,50.0,0.83,29.95,10.0,3.5,Scattered Clouds,2015,7,1
0530,55.0,50.0,0.83,29.96,10.0,0.0,Mostly Cloudy,2015,7,1
0600,55.0,50.0,0.83,29.96,10.0,0.0,Mostly Cloudy,2015,7,1
0630,55.9,51.1,0.84,29.98,10.0,0.0,Mostly Cloudy,2015,7,1
0700,55.9,51.1,0.84,29.98,10.0,0.0,Mostly Cloudy,2015,7,1
0730,57.9,51.1,0.78,29.99,10.0,0.0,Overcast,2015,7,1
0800,57.9,51.1,0.78,29.99,10.0,0.0,Overcast,2015,7,1
0830,59.0,52.0,0.78,29.98,10.0,0.0,Overcast,2015,7,1
0900,61.0,53.1,0.75,29.98,10.0,3.5,Mostly Cloudy,2015,7,1
0930,63.0,53.1,0.7,29.99,10.0,6.9,Mostly Cloudy,2015,7,1
1000,63.0,53.1,0.7,29.99,10.0,6.9,Mostly Cloudy,2015,7,1
1030,64.9,53.1,0.65,29.99,10.0,4.6,Overcast,2015,7,1
1100,64.9,53.1,0.65,29.99,10.0,4.6,Overcast,2015,7,1
1130,66.9,55.0,0.66,29.98,10.0,10.4,Mostly Cloudy,2015,7,1
1200,66.9,55.0,0.66,29.98,10.0,10.4,Mostly Cloudy,2015,7,1
1230,62.6,53.6,0.72,29.99,10.0,10.4,Mostly Cloudy,2015,7,1
1300,62.6,53.6,0.72,29.99,10.0,10.4,Mostly Cloudy,2015,7,1
1330,64.0,51.1,0.63,29.99,10.0,8.1,Clear,2015,7,1
1400,64.0,51.1,0.63,29.99,10.0,8.1,Clear,2015,7,1
1430,61.0,48.9,0.64,29.99,10.0,9.2,Clear,2015,7,1
1500,61.0,48.9,0.64,29.99,10.0,9.2,Clear,2015,7,1
1530,60.1,48.9,0.67,29.99,10.0,10.4,Clear,2015,7,1
1600,60.1,48.9,0.67,29.99,10.0,10.4,Clear,2015,7,1
1630,60.1,50.0,0.69,29.99,10.0,8.1,Clear,2015,7,1
1700,60.1,50.0,0.69,29.99,10.0,8.1,Clear,2015,7,1
1730,59.0,48.9,0.69,30.00,10.0,8.1,Clear,2015,7,1
1800,59.0,48.9,0.69,30.00,10.0,8.1,Clear,2015,7,1
1830,57.0,50.0,0.77,30.01,10.0,8.1,Clear,2015,7,1
1900,57.0,50.0,0.77,30.01,10.0,8.1,Clear,2015,7,1
1930,55.9,50.0,0.8,30.01,10.0,6.9,Clear,2015,7,1
2000,55.9,50.0,0.8,30.01,10.0,6.9,Clear,2015,7,1
2030,55.0,50.0,0.83,30.02,10.0,3.5,Clear,2015,7,1
2100,55.0,50.0,0.83,30.02,10.0,3.5,Clear,2015,7,1
2130,55.0,50.0,0.83,30.02,10.0,5.8,Clear,2015,7,1
2200,55.0,50.0,0.83,30.02,10.0,5.8,Clear,2015,7,1
2230,54.0,50.0,0.86,30.02,10.0,3.5,Clear,2015,7,1
2300,54.0,50.0,0.86,30.02,10.0,3.5,Clear,2015,7,1
2330,53.1,48.9,0.86,30.02,10.0,3.5,Clear,2015,7,1
0000,53.1,48.9,0.86,30.01,10.0,3.5,Clear,2015,7,2
0030,53.1,48.9,0.86,30.01,10.0,3.5,Clear,2015,7,2
0100,53.1,48.9,0.86,30.01,10.0,3.5,Clear,2015,7,2
0130,52.0,48.9,0.89,30.01,10.0,0.0,Clear,2015,7,2
0200,52.0,48.9,0.89,30.01,10.0,0.0,Clear,2015,7,2
0230,52.0,48.9,0.89,30.02,10.0,0.0,Clear,2015,7,2
0300,52.0,48.9,0.89,30.02,10.0,0.0,Clear,2015,7,2
0330,52.0,48.9,0.89,30.01,10.0,0.0,Mostly Cloudy,2015,7,2
0400,53.1,50.0,0.89,30.01,10.0,5.8,Overcast,2015,7,2
0430,53.1,51.1,0.93,30.00,10.0,5.8,Overcast,2015,7,2
0500,53.1,51.1,0.93,30.00,10.0,5.8,Overcast,2015,7,2
0530,54.0,51.1,0.9,30.00,10.0,9.2,Overcast,2015,7,2
0600,54.0,51.1,0.9,30.00,10.0,9.2,Overcast,2015,7,2
0630,55.0,52.0,0.89,30.03,10.0,6.9,Overcast,2015,7,2
0700,55.0,52.0,0.89,30.03,10.0,6.9,Overcast,2015,7,2
0730,57.0,53.1,0.87,30.04,10.0,6.9,Overcast,2015,7,2
0800,57.0,53.1,0.87,30.04,10.0,6.9,Overcast,2015,7,2
0830,59.0,53.1,0.81,30.03,10.0,9.2,Overcast,2015,7,2
0900,59.0,53.1,0.81,30.03,10.0,9.2,Overcast,2015,7,2
0930,60.1,53.1,0.78,30.04,10.0,13.8,Overcast,2015,7,2
1000,61.0,52.0,0.72,30.04,10.0,11.5,Overcast,2015,7,2
1030,62.6,51.8,0.68,30.03,10.0,13.8,Scattered Clouds,2015,7,2
1100,62.6,51.8,0.68,30.03,10.0,13.8,Scattered Clouds,2015,7,2
1130,64.0,52.0,0.65,30.04,10.0,12.7,Partly Cloudy,2015,7,2
1200,64.0,52.0,0.65,30.04,10.0,12.7,Partly Cloudy,2015,7,2
1230,64.9,52.0,0.63,30.03,10.0,9.2,Clear,2015,7,2
1300,64.9,52.0,0.63,30.03,10.0,9.2,Clear,2015,7,2
1330,66.0,52.0,0.6,30.03,10.0,9.2,Clear,2015,7,2
1400,66.0,52.0,0.6,30.03,10.0,9.2,Clear,2015,7,2
1430,64.9,51.1,0.61,30.02,10.0,13.8,Clear,2015,7,2
1500,64.9,51.1,0.61,30.02,10.0,13.8,Clear,2015,7,2
1530,64.0,51.1,0.63,30.01,10.0,9.2,Clear,2015,7,2
1600,64.0,51.1,0.63,30.01,10.0,9.2,Clear,2015,7,2
1630,64.9,52.0,0.63,30.01,10.0,8.1,Clear,2015,7,2
1700,64.9,52.0,0.63,30.01,10.0,8.1,Clear,2015,7,2
1730,64.0,52.0,0.65,30.00,10.0,9.2,Clear,2015,7,2
1800,64.0,52.0,0.65,30.00,10.0,9.2,Clear,2015,7,2
1830,62.1,51.1,0.67,29.99,10.0,9.2,Clear,2015,7,2
1900,62.1,51.1,0.67,29.99,10.0,9.2,Clear,2015,7,2
1930,59.0,48.9,0.69,30.00,10.0,10.4,Clear,2015,7,2
2000,59.0,48.9,0.69,30.00,10.0,10.4,Clear,2015,7,2
2030,57.9,48.9,0.72,30.00,10.0,5.8,Clear,2015,7,2
2100,57.9,48.9,0.72,30.00,10.0,5.8,Clear,2015,7,2
2130,57.9,48.0,0.7,30.02,10.0,5.8,Clear,2015,7,2
2200,57.9,48.0,0.7,30.02,10.0,5.8,Clear,2015,7,2
2230,57.0,46.9,0.69,30.02,10.0,3.5,Clear,2015,7,2
2300,57.0,46.9,0.69,30.02,10.0,3.5,Clear,2015,7,2
2330,55.9,46.9,0.72,30.01,10.0,3.5,Clear,2015,7,2
0000,55.9,46.9,0.72,30.02,10.0,3.5,Clear,2015,7,3
0030,55.9,46.9,0.72,30.02,10.0,3.5,Clear,2015,7,3
0100,55.9,46.9,0.72,30.02,10.0,3.5,Clear,2015,7,3
0130,55.9,48.0,0.75,29.99,10.0,3.5,Clear,2015,7,3
0200,55.9,48.0,0.75,29.99,10.0,3.5,Clear,2015,7,3
0230,54.0,48.0,0.8,29.99,10.0,0.0,Clear,2015,7,3
0300,54.0,48.0,0.8,29.99,10.0,0.0,Clear,2015,7,3
0330,55.0,48.9,0.8,29.98,10.0,0.0,Clear,2015,7,3
0400,55.0,48.9,0.8,29.98,10.0,0.0,Clear,2015,7,3
0430,54.0,50.0,0.86,29.98,10.0,0.0,Clear,2015,7,3
0500,54.0,50.0,0.86,29.98,10.0,0.0,Clear,2015,7,3
0530,55.0,51.1,0.86,29.99,10.0,0.0,Clear,2015,7,3
0600,55.0,51.1,0.86,29.99,10.0,0.0,Clear,2015,7,3
0630,57.0,53.1,0.87,29.99,10.0,0.0,Clear,2015,7,3
0700,57.0,53.1,0.87,29.99,10.0,0.0,Clear,2015,7,3
0730,63.0,55.9,0.78,30.00,10.0,3.5,Clear,2015,7,3
0800,63.0,55.9,0.78,30.00,10.0,3.5,Clear,2015,7,3
0830,66.0,55.9,0.7,30.00,10.0,3.5,Clear,2015,7,3
0900,66.0,55.9,0.7,30.00,10.0,3.5,Clear,2015,7,3
