Time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Speed,Conditions,Year,Month,Day
0,55.9,51.1,0.84,29.93,10.0,4.6,Scattered Clouds,2015,7,1
30,55.9,51.1,0.84,29.93,10.0,4.6,Scattered Clouds,2015,7,1
100,55.9,51.1,0.84,29.93,10.0,4.6,Scattered Clouds,2015,7,1
130,57.0,51.1,0.81,29.94,10.0,5.8,Overcast,2015,7,1
200,57.0,51.1,0.81,29.94,10.0,5.8,Overcast,2015,7,1
230,55.9,50.0,0.8,29.94,10.0,3.5,Clear,2015,7,1
300,55.9,50.0,0.8,29.94,10.0,3.5,Clear,2015,7,1
330,55.0,50.0,0.83,29.95,10.0,5.8,Overcast,2015,7,1
400,55.0,50.0,0.83,29.95,10.0,5.8,Overcast,2015,7,1
430,55.0,50.0,0.83,29.95,10.0,3.5,Overcast,2015,7,1
500,55.0,50.0,0.83,29.95,10.0,3.5,Scattered Clouds,2015,7,1
530,55.0,50.0,0.83,29.96,10.0,0.0,Mostly Cloudy,2015,7,1
600,55.0,50.0,0.83,29.96,10.0,0.0,Mostly Cloudy,2015,7,1
630,55.9,51.1,0.84,29.98,10.0,0.0,Mostly Cloudy,2015,7,1
700,55.9,51.1,0.84,29.98,10.0,0.0,Mostly Cloudy,2015,7,1
730,57.9,51.1,0.78,29.99,10.0,0.0,Overcast,2015,7,1
800,57.9,51.1,0.78,29.99,10.0,0.0,Overcast,2015,7,1
830,59.0,52.0,0.78,29.98,10.0,0.0,Overcast,2015,7,1
900,61.0,53.1,0.75,29.98,10.0,3.5,Mostly Cloudy,2015,7,1
930,63.0,53.1,0.7,29.99,10.0,6.9,Mostly Cloudy,2015,7,1
1000,63.0,53.1,0.7,29.99,10.0,6.9,Mostly Cloudy,2015,7,1
1030,64.9,53.1,0.65,29.99,10.0,4.6,Overcast,2015,7,1
1100,64.9,53.1,0.65,29.99,10.0,4.6,Overcast,2015,7,1
1130,66.9,55.0,0.66,29.98,10.0,10.4,Mostly Cloudy,2015,7,1
