Time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Speed,Conditions,Year,Month,Day
100,55.9,51.1,0.84,29.93,10.0,4.6,Scattered Clouds,2015,7,1
200,57.0,51.1,0.81,29.94,10.0,5.8,Overcast,2015,7,1
300,55.9,50.0,0.8,29.94,10.0,3.5,Clear,2015,7,1
400,55.0,50.0,0.83,29.95,10.0,5.8,Overcast,2015,7,1
500,55.0,50.0,0.83,29.95,10.0,3.5,Overcast,2015,7,1
0500,55.0,50.0,0.83,29.95,10.0,3.5,Scattered Clouds,2015,7,1
600,55.0,50.0,0.83,29.96,10.0,0.0,Mostly Cloudy,2015,7,1
700,55.9,51.1,0.84,29.98,10.0,0.0,Mostly Cloudy,2015,7,1
800,57.9,51.1,0.78,29.99,10.0,0.0,Overcast,2015,7,1
900,59.0,52.0,0.78,29.98,10.0,0.0,Overcast,2015,7,1
0900,61.0,53.1,0.75,29.98,10.0,3.5,Mostly Cloudy,2015,7,1
1000,63.0,53.1,0.7,29.99,10.0,6.9,Mostly Cloudy,2015,7,1
1100,64.9,53.1,0.65,29.99,10.0,4.6,Overcast,2015,7,1
1200,66.9,55.0,0.66,29.98,10.0,10.4,Mostly Cloudy,2015,7,1
1300,62.6,53.6,0.72,29.99,10.0,10.4,Mostly Cloudy,2015,7,1
1400,64.0,51.1,0.63,29.99,10.0,8.1,Clear,2015,7,1
1500,61.0,48.9,0.64,29.99,10.0,9.2,Clear,2015,7,1
1600,60.1,48.9,0.67,29.99,10.0,10.4,Clear,2015,7,1
1700,60.1,50.0,0.69,29.99,10.0,8.1,Clear,2015,7,1
1800,59.0,48.9,0.69,30.00,10.0,8.1,Clear,2015,7,1
1900,57.0,50.0,0.77,30.01,10.0,8.1,Clear,2015,7,1
2000,55.9,50.0,0.8,30.01,10.0,6.9,Clear,2015,7,1
2100,55.0,50.0,0.83,30.02,10.0,3.5,Clear,2015,7,1
2200,55.0,50.0,0.83,30.02,10.0,5.8,Clear,2015,7,1
2300,54.0,50.0,0.86,30.02,10.0,3.5,Clear,2015,7,1
2400,53.1,48.9,0.86,30.02,10.0,3.5,Clear,2015,7,1
100,53.1,48.9,0.86,30.01,10.0,3.5,Clear,2015,7,2
200,52.0,48.9,0.89,30.01,10.0,0.0,Clear,2015,7,2
300,52.0,48.9,0.89,30.02,10.0,0.0,Clear,2015,7,2
