Time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Speed,Conditions,Year,Month,Day
0,55.9,51.1,0.84,29.93,10,4.6,Scattered Clouds,2015,7,1
30,55.9,51.1,0.84,29.93,10,4.6,Scattered Clouds,2015,7,1
100,55.9,51.1,0.84,29.93,10,4.6,Scattered Clouds,2015,7,1
130,57,51.1,0.84,29.94,10,5.8,Overcast,2015,7,1
200,57,51.1,0.84,29.94,10,5.8,Overcast,2015,7,1
230,55.9,50,0.84,29.94,10,3.5,Clear,2015,7,1
300,55.9,50,0.84,29.94,10,3.5,Clear,2015,7,1
330,55,50,0.84,29.95,10,5.8,Overcast,2015,7,1
400,55,50,0.84,29.95,10,5.8,Overcast,2015,7,1
430,55,50,0.84,29.95,10,3.5,Overcast,2015,7,1
500,55,50,0.84,29.95,10,3.5,Scattered Clouds,2015,7,1
530,55,50,0.84,29.96,10,0,Mostly Cloudy,2015,7,1
600,55,50,0.84,29.96,10,0,Mostly Cloudy,2015,7,1
630,55.9,51.1,0.84,29.98,10,0,Mostly Cloudy,2015,7,1
700,55.9,51.1,0.84,29.98,10,0,Mostly Cloudy,2015,7,1
730,57.9,51.1,0.84,29.99,10,0,Overcast,2015,7,1
800,57.9,51.1,0.84,29.99,10,0,Overcast,2015,7,1
830,59,52,0.84,29.98,10,0,Overcast,2015,7,1
900,61,53.1,0.84,29.98,10,3.5,Mostly Cloudy,2015,7,1
930,63,53.1,0.84,29.99,10,6.9,Mostly Cloudy,2015,7,1
1000,63,53.1,0.84,29.99,10,6.9,Mostly Cloudy,2015,7,1
1030,64.9,53.1,0.84,29.99,10,4.6,Overcast,2015,7,1
1100,64.9,53.1,0.84,29.99,10,4.6,Overcast,2015,7,1
1130,66.9,55,0.84,29.98,10,10.4,Mostly Cloudy,2015,7,1
1200,66.9,55,0.84,29.98,10,10.4,Mostly Cloudy,2015,7,1
1230,62.6,53.6,0.84,29.99,10,10.4,Mostly Cloudy,2015,7,1
1300,62.6,53.6,0.84,29.99,10,10.4,Mostly Cloudy,2015,7,1
1330,64,51.1,0.84,29.99,10,8.1,Clear,2015,7,1
1400,64,51.1,0.84,29.99,10,8.1,Clear,2015,7,1
1430,61,48.9,0.84,29.99,10,9.2,Clear,2015,7,1
1500,61,48.9,0.84,29.99,10,9.2,Clear,2015,7,1
1530,60.1,48.9,0.84,29.99,10,10.4,Clear,2015,7,1
1600,60.1,48.9,0.84,29.99,10,10.4,Clear,2015,7,1
1630,60.1,50,0.84,29.99,10,8.1,Clear,2015,7,1
1700,60.1,50,0.84,29.99,10,8.1,Clear,2015,7,1
1730,59,48.9,0.84,30,10,8.1,Clear,2015,7,1
1800,59,48.9,0.84,30,10,8.1,Clear,2015,7,1
1830,57,50,0.84,30.01,10,8.1,Clear,2015,7,1
1900,57,50,0.84,30.01,10,8.1,Clear,2015,7,1
1930,55.9,50,0.84,30.01,10,6.9,Clear,2015,7,1
2000,55.9,50,0.84,30.01,10,6.9,Clear,2015,7,1
2030,55,50,0.84,30.02,10,3.5,Clear,2015,7,1
2100,55,50,0.84,30.02,10,3.5,Clear,2015,7,1
2130,55,50,0.84,30.02,10,5.8,Clear,2015,7,1
2200,55,50,0.84,30.02,10,5.8,Clear,2015,7,1
2230,54,50,0.84,30.02,10,3.5,Clear,2015,7,1
2300,54,50,0.84,30.02,10,3.5,Clear,2015,7,1
2330,53.1,48.9,0.84,30.02,10,3.5,Clear,2015,7,1
0,53.1,48.9,0.84,30.01,10,3.5,Clear,2015,7,2
30,53.1,48.9,0.84,30.01,10,3.5,Clear,2015,7,2
100,53.1,48.9,0.84,30.01,10,3.5,Clear,2015,7,2
130,52,48.9,0.84,30.01,10,0,Clear,2015,7,2
200,52,48.9,0.84,30.01,10,0,Clear,2015,7,2
230,52,48.9,0.84,30.02,10,0,Clear,2015,7,2
300,52,48.9,0.84,30.02,10,0,Clear,2015,7,2
330,52,48.9,0.84,30.01,10,0,Mostly Cloudy,2015,7,2
400,53.1,50,0.84,30.01,10,5.8,Overcast,2015,7,2
430,53.1,51.1,0.84,30,10,5.8,Overcast,2015,7,2
500,53.1,51.1,0.84,30,10,5.8,Overcast,2015,7,2
530,54,51.1,0.84,30,10,9.2,Overcast,2015,7,2
600,54,51.1,0.84,30,10,9.2,Overcast,2015,7,2
630,55,52,0.84,30.03,10,6.9,Overcast,2015,7,2
700,55,52,0.84,30.03,10,6.9,Overcast,2015,7,2
